@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.Remove-R1,2,6_transformed_reordered'

@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute 'Life Ladder Numeric' numeric
@attribute 'Life Ladder Category' {'Very Sad',Sad,Neutral,Happy,'Very Happy'}

@data
6.041546,9.812616,0.852102,0.84348,0.141916,0.824472,0.579139,6.041546,Happy
4.995875,9.193847,0.838859,0.669843,-0.068865,0.829651,0.803225,4.995875,Neutral
5.547489,8.886697,0.853589,0.911534,-0.055984,0.755192,0.796322,5.547489,Neutral
4.427789,8.472221,0.552826,0.740177,0.079355,0.832356,0.608283,4.427789,Neutral
7.593794,10.751601,0.936239,0.916014,0.309982,0.445697,0.800634,7.593794,Happy
6.83095,11.173874,0.84938,0.94912,0.119986,0.798496,0.739081,6.83095,Happy
7.141075,9.92834,0.875872,0.941888,-0.116606,0.781302,0.801593,7.141075,Happy
4.15609,9.144053,0.607513,0.613997,-0.229816,0.497999,0.371024,4.15609,Neutral
7.1014,11.635129,0.934091,0.961831,0.096667,0.445697,0.743699,7.1014,Happy
7.194928,10.588619,0.959072,0.831316,-0.058967,0.747639,0.564404,7.194928,Happy
7.076447,10.875665,0.92811,0.900305,0.09321,0.55748,0.747708,7.076447,Happy
6.093905,10.819924,0.853491,0.884182,-0.009534,0.798496,0.648668,6.093905,Happy
4.496229,8.523474,0.702745,0.735895,0.316246,0.799799,0.755694,4.496229,Neutral
4.271038,8.143867,0.760194,0.794076,-0.039339,0.867257,0.639726,4.271038,Neutral
7.257038,10.78726,0.949958,0.91055,0.312024,0.445697,0.72815,7.257038,Happy
2.936221,7.40595,0.504608,0.584088,-0.093389,0.832004,0.478782,2.936221,Sad
4.431364,8.506556,0.795763,0.824871,0.402781,0.646702,0.699925,4.431364,Neutral
5.584686,9.426238,0.834077,0.903251,0.402781,0.861709,0.818229,5.584686,Neutral
6.338472,9.892345,0.8342,0.8894,-0.138506,0.772164,0.758925,6.338472,Happy
5.808285,10.1595,0.940792,0.589662,-0.287422,0.966326,0.522942,5.808285,Neutral
6.283498,10.634509,0.918159,0.798213,-0.087551,0.654168,0.691048,6.283498,Happy
5.213962,9.053523,0.75637,0.638497,-0.08243,0.930641,0.730209,5.213962,Neutral
5.538172,9.322542,0.783401,0.439971,-0.044912,0.611083,0.583429,5.538172,Neutral
4.917603,10.126675,0.893662,0.6311,-0.094856,0.939908,0.586092,4.917603,Neutral
4.514411,8.447203,0.647303,0.751168,0.085191,0.893955,0.658925,4.514411,Neutral
3.354676,7.33005,0.642615,0.763476,0.027643,0.901267,0.625467,3.354676,Sad
7.57549,10.852078,0.983286,0.948627,0.152217,0.644064,0.808148,7.57549,Happy
4.101837,9.183661,0.540389,0.557858,-0.253165,0.459736,0.401716,4.101837,Neutral
4.31548,9.315943,0.609589,0.659332,-0.216798,0.888905,0.458863,4.31548,Neutral
7.358916,10.44437,0.88183,0.561478,0.145137,0.902183,0.627863,7.358916,Happy
3.918073,9.601396,0.828597,0.606614,-0.200559,0.781658,0.53309,3.918073,Sad
6.841115,10.408382,0.868217,0.682864,0.214687,0.867821,0.642079,6.841115,Happy
3.563228,6.700229,0.504608,0.36033,-0.022361,0.859814,0.41519,3.563228,Sad
3.72359,7.350416,0.504608,0.718114,0.164055,0.881686,0.414297,3.72359,Sad
4.278118,9.590757,0.673765,0.60332,0.072635,0.70344,0.481677,4.278118,Neutral
5.4627,10.429203,0.859527,0.522797,-0.159018,0.747561,0.344347,5.4627,Neutral
4.260868,9.266504,0.75474,0.474189,-0.233461,0.908437,0.458278,4.260868,Neutral
4.683358,10.119258,0.906114,0.569232,-0.142039,0.930297,0.581949,4.683358,Neutral
6.456033,10.60896,0.912135,0.778683,-0.0039,0.674821,0.654594,6.456033,Happy
5.553926,10.195593,0.913667,0.62106,-0.265066,0.960843,0.501196,5.553926,Neutral
7.288922,10.838187,0.92946,0.935072,0.206192,0.445697,0.766198,7.288922,Happy
